year,franchID,Last Year Rank,Last Year Playoff,Last Year W%,Last Year l%,Last Year Points,Last Year GF,Last Year GA,Last Year PIM,EGF,EPPG,EPIM,NewCoach,NumGoalies,EGA,NumPicks,HighPick,Playoff
2000,TBL,4,0,0.573170732,0.231707317,54,201,280,1733,200,51,1639,1,6,302,1,8,0
2002,MIN,5,0,0.426829268,0.317073171,73,198,178,1209,190,55,1166,0,3,237,1,8,1
2006,PHO,5,0,0.475609756,0.463414634,81,216,284,1511,229,92,1354,0,4,260,2,8,0
1995,MTL,6,0,0.479166667,0.375,43,265,248,840,120,25,745,1,5,145,1,8,1
1996,BOS,2,1,0.37804878,0.487804878,91,234,300,1039,251,61,913,1,6,266,1,8,0
1988,STL,2,1,0.475,0.425,76,275,285,1919,247,78,1564,0,2,288,1,9,1
1989,STL,2,1,0.4375,0.4125,78,295,279,1675,272,72,1641,0,4,278,1,9,1
1998,NYI,4,0,0.5,0.365853659,71,194,244,1646,211,61,1626,1,4,215,1,9,0
2009,OTT,4,0,0.426829268,0.43902439,83,225,238,1098,212,66,1035,0,3,218,1,9,1
2010,MIN,4,0,0.43902439,0.463414634,84,206,233,924,190,52,790,1,3,230,1,9,0
2003,CAL,5,0,0.43902439,0.353658537,75,200,176,1391,181,44,1253,0,4,222,1,9,1
1975,MTL,1,1,0.175,0.5875,113,337,174,1155,371,92,1137,0,2,223,2,9,1
1976,CHI,1,1,0.375,0.4,82,240,298,944,253,72,878,1,4,255,1,9,1
1978,DET,2,1,0.425,0.4,78,252,295,1534,240,56,1495,0,2,263,2,9,0
1980,PIT,3,1,0.4625,0.375,73,302,345,1038,246,48,1010,0,3,297,1,9,1
1983,VAN,3,1,0.4375,0.375,75,306,328,1639,280,80,1621,0,3,300,1,9,1
1981,NYR,4,1,0.45,0.375,74,316,306,1981,295,57,1891,0,5,309,1,9,1
2001,CHI,4,0,0.487804878,0.353658537,71,216,207,1001,198,40,854,0,2,238,2,9,1
1987,COL,4,1,0.4875,0.3875,72,271,306,1741,255,66,1679,0,3,272,2,9,0
1994,NYI,4,1,0.428571429,0.428571429,84,126,158,1787,276,72,1685,0,3,261,1,9,0
1997,WAS,5,0,0.487804878,0.402439024,75,219,202,1652,213,51,1492,0,2,222,1,9,1
2008,NYI,5,0,0.463414634,0.426829268,79,201,279,1041,167,44,854,0,4,231,1,9,0
1974,DET,6,0,0.5,0.371794872,68,259,335,917,251,58,877,0,4,319,1,9,0
1977,STL,1,1,0.4875,0.4,73,195,304,877,215,46,541,1,5,273,1,9,0
2011,BOS,1,1,0.304878049,0.56097561,103,269,202,1115,228,37,1039,1,4,183,1,9,1
2007,SJS,2,1,0.317073171,0.62195122,107,222,193,955,256,92,939,1,4,190,2,9,1
1972,STL,3,1,0.5,0.358974359,67,233,251,1150,192,34,1071,1,3,242,1,9,1
1990,WAS,3,1,0.475,0.45,78,258,258,2204,281,70,2148,0,3,263,1,9,1
1979,TOR,3,1,0.4125,0.425,81,304,327,1440,263,60,1405,1,5,249,1,9,1
1995,BOS,3,1,0.375,0.5625,57,282,269,793,141,43,781,0,5,125,2,9,1
1985,LAK,4,1,0.4,0.425,82,284,389,1413,334,87,1321,0,4,320,2,9,0
1986,NYR,4,1,0.475,0.45,78,307,323,1496,279,72,1449,0,4,274,1,9,1
2000,CAL,4,0,0.43902439,0.37804878,77,197,236,1267,211,59,1218,0,2,250,1,9,0
2006,MIN,5,0,0.43902439,0.463414634,84,235,191,1209,221,75,1149,0,3,206,1,9,1
1996,ANA,4,0,0.475609756,0.426829268,78,245,233,1707,219,56,1537,1,3,242,1,9,1
1971,NYR,2,1,0.230769231,0.628205128,109,317,192,952,259,60,938,0,2,173,2,10,1
1988,PHO,3,1,0.45,0.4125,77,300,355,2278,292,110,2231,1,5,308,1,10,0
2003,MTL,4,0,0.426829268,0.365853659,77,208,192,900,200,42,763,0,2,226,1,10,1
2009,EDM,4,0,0.426829268,0.463414634,85,214,284,1247,228,60,1227,1,3,239,1,10,0
2010,NYR,4,0,0.402439024,0.463414634,87,233,198,1159,211,55,1019,0,3,204,1,10,1
1998,TOR,6,0,0.524390244,0.365853659,69,268,231,1481,193,41,1459,0,4,229,1,10,1
1975,VAN,1,1,0.4,0.475,86,271,272,965,271,70,949,0,3,249,1,10,1
1978,CHI,1,1,0.3625,0.4,83,244,277,1308,230,43,1296,0,2,216,1,10,1
1993,COL,2,1,0.321428571,0.55952381,104,277,292,1846,342,101,1798,1,4,292,2,10,0
1981,VAN,3,1,0.4,0.35,76,290,286,1892,260,59,1680,0,3,298,1,10,1
1994,WAS,3,1,0.416666667,0.464285714,88,136,120,2007,275,69,1895,0,4,259,2,10,1
1982,PIT,4,1,0.45,0.3875,75,257,394,2212,292,95,1975,0,4,326,1,10,0
1987,NYR,4,1,0.475,0.425,76,300,283,1718,306,75,1593,0,3,316,1,10,0
1997,VAN,4,0,0.487804878,0.426829268,77,224,273,1607,232,47,1481,0,5,268,1,10,0
2001,NYR,4,0,0.524390244,0.402439024,72,227,258,1522,247,65,1482,1,3,283,1,10,0
2008,VAN,5,0,0.402439024,0.475609756,88,246,220,1474,187,62,1163,0,4,203,1,10,1
1977,MTL,1,1,0.1,0.75,132,359,183,764,387,59,754,0,2,170,2,10,1
1972,NYR,2,1,0.217948718,0.615384615,109,297,208,1010,316,59,1006,0,3,189,2,10,1
1984,VAN,3,1,0.4875,0.4,73,284,401,1474,271,84,1389,1,3,316,1,10,0
1990,TOR,3,1,0.475,0.475,80,241,318,2419,329,81,2278,1,4,351,1,10,0
1991,DET,3,1,0.475,0.425,76,320,256,1940,268,55,1914,0,5,292,1,10,1
2011,MIN,3,0,0.426829268,0.475609756,86,177,226,983,203,53,965,1,3,218,2,10,0
2007,FLO,4,0,0.37804878,0.426829268,86,216,226,1181,228,59,1119,1,2,242,1,10,0
1986,STL,3,1,0.425,0.4625,83,281,293,1478,290,74,1403,0,2,286,1,10,1
2000,CHI,3,0,0.451219512,0.402439024,78,210,246,1444,238,52,1352,1,4,231,2,10,0
2002,CAL,4,0,0.426829268,0.390243902,79,186,228,1586,201,55,1570,1,2,213,1,10,0
2006,FLO,4,0,0.414634146,0.451219512,85,247,257,1279,236,63,1247,0,3,247,1,10,0
1995,FLO,5,0,0.458333333,0.416666667,46,254,234,770,113,27,701,0,2,122,1,10,1
1996,NJD,6,0,0.402439024,0.451219512,86,231,182,1486,215,55,1482,0,3,194,1,10,1
1989,DET,1,1,0.425,0.425,80,288,323,2245,301,70,2143,1,4,309,1,11,0
2003,PHI,2,1,0.243902439,0.548780488,107,229,186,1003,205,47,933,0,5,162,2,11,1
2009,NAS,5,0,0.414634146,0.487804878,88,225,225,994,195,43,873,0,2,215,1,11,1
2010,DAL,5,0,0.37804878,0.451219512,88,227,233,963,226,60,943,1,3,235,1,11,0
1998,CAR,6,0,0.5,0.402439024,74,210,202,1455,198,50,1405,0,2,209,1,11,1
1982,VAN,2,1,0.4125,0.375,77,303,309,1840,284,64,1818,1,4,283,1,11,1
1987,DET,2,1,0.45,0.425,78,322,269,2209,256,69,2144,0,4,267,1,11,1
1993,WAS,2,1,0.404761905,0.511904762,93,277,263,1709,325,97,1659,1,4,276,2,11,1
1975,NYI,3,1,0.3125,0.4125,88,297,190,1116,264,51,1114,0,2,215,1,11,1
1994,SJS,3,1,0.416666667,0.392857143,82,129,161,1343,244,66,1269,0,2,259,1,11,1
1999,CAL,3,0,0.487804878,0.365853659,72,211,256,1389,211,51,1361,1,3,227,1,11,0
1981,COL,4,1,0.4,0.375,78,356,345,1524,308,80,1254,0,4,311,1,11,1
1997,MTL,4,1,0.43902439,0.37804878,77,235,208,1469,249,53,1445,0,3,271,1,11,1
2001,PHO,4,0,0.329268293,0.426829268,90,228,210,1337,206,57,1283,0,3,206,1,11,1
1973,DET,5,0,0.371794872,0.474358974,86,255,319,893,250,49,854,0,6,235,1,11,0
1974,BUF,5,0,0.435897436,0.41025641,76,354,240,787,240,48,718,0,4,245,1,11,1
1980,DET,5,0,0.5375,0.325,63,252,339,1114,264,61,1030,1,5,301,1,11,0
2008,CHI,3,0,0.414634146,0.487804878,88,264,216,1383,223,57,1288,0,4,221,1,11,1
1990,CAL,1,1,0.2875,0.525,99,344,263,1751,346,99,1715,0,3,261,1,11,1
1977,TOR,3,1,0.4,0.4125,81,271,237,1200,300,63,1178,0,2,279,2,11,1
1992,BUF,3,1,0.4625,0.3875,74,335,297,2713,273,99,2577,0,4,295,1,11,1
2007,CAR,3,0,0.414634146,0.487804878,88,252,249,1021,241,67,1007,0,3,239,1,11,0
1972,TOR,4,1,0.397435897,0.423076923,80,247,279,887,194,44,805,1,3,202,1,11,0
1979,BUF,2,1,0.35,0.45,88,318,201,1026,278,55,956,0,2,262,1,11,1
1985,CHI,2,1,0.4375,0.475,83,351,349,1432,303,62,1384,0,3,294,1,11,1
2006,LAK,4,0,0.426829268,0.512195122,89,227,283,1474,227,74,1374,0,5,260,2,11,0
1995,DAL,5,1,0.479166667,0.354166667,42,227,280,1117,133,38,949,1,5,133,1,11,0
2002,BUF,5,0,0.426829268,0.426829268,82,190,219,1217,213,50,1197,0,3,191,2,11,0
1971,CHI,1,1,0.256410256,0.628205128,107,256,166,1280,277,60,1268,0,3,182,1,12,1
1998,COL,1,1,0.317073171,0.475609756,95,239,205,1729,225,72,1553,0,3,198,4,12,1
1988,NJD,4,1,0.45,0.475,82,281,325,2315,295,98,2303,0,4,290,1,12,0
2003,NYR,4,0,0.43902439,0.390243902,78,206,250,1308,191,50,1238,0,5,223,1,12,0
2010,ANA,4,0,0.390243902,0.475609756,89,239,235,1321,223,58,1271,0,5,234,2,12,1
1976,MTL,1,1,0.1375,0.725,127,387,171,977,337,75,963,0,2,171,3,12,1
1987,STL,1,1,0.4125,0.4,79,278,294,1572,280,79,1538,1,3,288,1,12,1
1981,CHI,2,1,0.4125,0.3875,78,332,363,1660,304,67,1624,1,3,308,1,12,1
1975,NYR,2,1,0.3625,0.4625,88,262,333,1053,316,81,1011,0,4,270,1,12,0
1980,STL,2,1,0.425,0.425,80,352,281,1037,263,53,933,0,3,275,1,12,1
1982,PHO,2,1,0.4125,0.4125,80,311,333,1314,318,74,1236,0,3,329,1,12,1
1999,FLO,2,0,0.414634146,0.365853659,78,244,209,1522,202,46,1417,0,5,224,1,12,1
1993,TOR,3,1,0.345238095,0.523809524,99,280,243,1815,288,98,1803,0,2,236,2,12,1
1997,OTT,3,1,0.43902439,0.37804878,77,193,200,1087,223,56,1043,0,2,230,1,12,1
2001,NAS,3,0,0.43902439,0.414634146,80,196,230,944,186,51,923,0,3,194,1,12,0
1973,BUF,4,1,0.346153846,0.474358974,88,242,250,940,240,50,865,1,4,213,1,12,0
1983,NYR,4,1,0.4375,0.4375,80,314,304,1100,300,70,1009,0,4,281,1,12,1
2008,BUF,4,0,0.37804878,0.475609756,90,250,234,1004,250,66,960,0,3,225,2,12,0
1994,COL,5,0,0.5,0.404761905,76,185,134,1625,264,63,1514,0,3,281,2,12,1
1972,DAL,2,1,0.371794872,0.474358974,86,254,230,853,205,53,839,0,3,191,1,12,1
1984,CAL,2,1,0.4,0.425,82,363,302,1390,301,64,1267,0,2,311,1,12,1
1992,CHI,2,1,0.3625,0.45,87,279,230,2663,254,81,2573,0,2,231,1,12,1
1990,MTL,3,1,0.35,0.5125,93,273,249,1590,288,54,1576,0,4,231,1,12,1
1991,EDM,3,1,0.4625,0.4625,80,295,297,1823,270,63,1799,0,4,267,2,12,1
2011,CAR,3,0,0.37804878,0.487804878,91,213,243,835,230,55,767,1,4,227,1,12,0
2007,MTL,4,0,0.414634146,0.512195122,90,262,222,1133,233,85,1035,0,3,244,2,12,1
1985,MTL,1,1,0.3375,0.5125,94,330,280,1464,289,74,1432,0,3,258,2,12,1
1986,DAL,2,1,0.4125,0.475,85,296,314,1672,325,89,1541,1,3,300,1,12,0
2002,WAS,2,0,0.402439024,0.43902439,85,224,220,1043,215,55,902,0,3,233,3,12,1
1995,SJS,3,1,0.520833333,0.395833333,42,252,357,840,127,24,731,1,4,155,1,12,0
2006,WPG,3,0,0.402439024,0.5,90,246,245,1344,269,99,1237,0,2,264,1,12,1
2000,ANA,5,0,0.402439024,0.414634146,83,188,245,926,217,55,916,1,4,218,1,12,0
1996,VAN,3,1,0.426829268,0.390243902,79,257,273,1546,272,69,1516,0,3,270,1,12,0
1989,MTL,1,1,0.225,0.6625,115,288,234,1537,305,79,1495,0,3,214,1,13,1
2010,PHO,2,1,0.304878049,0.609756098,107,231,226,925,202,43,869,0,3,189,2,13,1
1988,BUF,3,1,0.4,0.4625,85,291,299,2277,276,79,2114,1,6,301,1,13,1
1998,EDM,3,1,0.451219512,0.426829268,80,230,226,1690,215,77,1642,1,4,216,1,13,1
2003,LAK,3,0,0.451219512,0.402439024,78,205,217,1146,178,45,978,0,4,212,3,13,0
2009,BUF,3,0,0.390243902,0.5,91,235,207,1121,240,74,1083,0,3,221,1,13,1
1973,CHI,1,1,0.346153846,0.538461538,93,272,164,864,274,50,846,0,2,219,1,13,1
1978,BUF,2,1,0.2375,0.55,105,280,263,800,272,46,767,1,3,212,1,13,1
1983,CAL,2,1,0.425,0.4,78,311,314,1146,315,63,1092,0,3,313,1,13,1
1994,VAN,2,1,0.476190476,0.488095238,85,153,148,1923,278,83,1901,0,2,269,1,13,1
1999,EDM,2,1,0.451219512,0.402439024,78,226,212,1373,228,63,1357,1,3,221,1,13,1
2001,EDM,2,1,0.341463415,0.475609756,93,205,182,1287,243,59,1249,0,3,215,1,13,0
1975,PIT,3,1,0.35,0.4625,89,339,303,1119,320,63,1073,1,4,285,1,13,1
1981,DAL,3,1,0.35,0.4375,87,346,288,1624,283,88,1561,0,3,258,1,13,1
1987,NYI,3,1,0.4125,0.4375,82,308,267,1857,241,76,1798,0,2,277,1,13,1
1997,CHI,5,1,0.426829268,0.414634146,81,192,199,1763,213,43,1650,1,3,203,2,13,0
1974,TOR,4,1,0.346153846,0.448717949,86,280,309,903,274,51,891,0,4,225,1,13,1
1982,COL,4,1,0.3875,0.4125,82,343,336,1757,356,83,1731,0,3,341,1,13,1
1993,NJD,4,1,0.44047619,0.476190476,87,306,220,1815,304,76,1785,0,3,297,1,13,1
1972,CHI,1,1,0.217948718,0.58974359,107,284,225,844,247,42,787,0,2,165,1,13,1
1984,DAL,1,1,0.3875,0.4875,88,268,321,1696,339,91,1669,1,4,339,1,13,1
1990,NYR,1,1,0.3875,0.45,85,297,265,2021,278,103,1938,0,2,265,1,13,1
2011,CAL,2,0,0.353658537,0.5,94,202,226,836,235,61,783,1,3,218,1,13,0
1991,BUF,3,1,0.375,0.3875,81,289,299,1733,292,73,1697,1,4,275,1,13,1
1992,EDM,3,1,0.425,0.45,82,242,337,1907,295,68,1881,0,2,291,1,13,0
2007,STL,3,0,0.426829268,0.414634146,81,205,237,1223,189,44,1078,0,4,238,3,13,0
1979,NYR,3,1,0.3625,0.5,91,308,284,1214,316,75,1176,0,4,289,1,13,1
1986,BOS,3,1,0.3875,0.4625,86,301,276,1919,307,95,1877,1,5,285,1,13,1
2000,MTL,4,0,0.414634146,0.426829268,83,206,232,1067,194,53,1032,0,4,190,2,13,0
2006,TOR,4,0,0.402439024,0.5,90,258,269,1398,221,94,1026,0,3,257,1,13,0
1996,CAL,2,1,0.451219512,0.414634146,79,214,239,1524,234,70,1460,1,3,236,1,13,0
1988,PHI,3,1,0.4125,0.475,85,307,285,2194,289,83,2119,0,4,288,1,14,1
1989,BUF,3,1,0.4375,0.475,83,286,248,2034,280,78,1942,0,2,295,1,14,1
2009,FLO,3,0,0.365853659,0.5,93,208,244,900,195,48,778,0,3,212,1,14,0
2003,CHI,3,0,0.402439024,0.365853659,79,188,259,1189,195,38,1069,1,6,221,1,14,0
1998,PHO,4,1,0.426829268,0.426829268,82,205,197,1602,199,51,1367,1,5,222,1,14,1
2010,STL,4,0,0.390243902,0.487804878,90,240,234,1318,186,44,1187,0,3,208,2,14,0
1975,BOS,2,1,0.325,0.5,94,313,237,1153,339,85,1136,0,3,238,1,14,1
1976,NYI,2,1,0.2625,0.525,101,288,193,1277,297,92,1267,0,2,186,1,14,1
1981,BOS,2,1,0.375,0.4625,87,323,285,1836,304,83,1776,0,3,270,1,14,1
2008,CAR,2,0,0.402439024,0.524390244,92,239,226,1183,238,79,1069,1,2,240,1,14,1
1973,NYR,3,1,0.294871795,0.602564103,102,300,251,765,296,54,755,0,3,204,1,14,1
1974,NYR,3,1,0.307692308,0.512820513,94,319,276,782,283,66,774,1,4,248,1,14,1
1980,NYR,3,1,0.4,0.475,86,312,317,1342,304,77,1258,0,5,278,1,14,1
1994,CHI,5,1,0.428571429,0.464285714,87,156,115,2125,238,64,2075,1,3,240,1,14,1
1997,EDM,3,1,0.451219512,0.43902439,81,215,224,1368,252,73,1335,0,2,241,1,14,1
1999,SJS,4,1,0.402439024,0.37804878,80,225,214,1423,196,53,1409,0,3,187,1,14,1
2001,CAL,4,0,0.43902439,0.329268293,73,201,220,1376,190,64,1283,0,3,227,1,14,0
1977,BUF,2,1,0.3,0.6,104,288,215,848,301,60,830,0,3,218,1,14,1
1990,BUF,2,1,0.3375,0.5625,98,292,278,1449,286,79,1404,0,4,245,1,14,1
1992,WAS,2,1,0.3375,0.5625,98,325,286,1777,330,92,1695,0,5,271,1,14,1
1991,WAS,3,1,0.45,0.4625,81,330,275,1839,255,64,1823,0,3,253,2,14,1
1984,NYR,4,1,0.3625,0.525,93,295,345,1471,298,73,1408,1,2,295,1,14,1
2007,COL,4,0,0.37804878,0.536585366,95,231,219,884,254,78,807,1,3,238,1,14,1
2011,DAL,5,0,0.353658537,0.512195122,95,211,222,1066,217,55,956,1,3,215,1,14,0
2000,COL,1,1,0.341463415,0.512195122,96,270,192,1118,233,59,1100,0,2,194,1,14,1
1979,PHI,2,1,0.3125,0.5,95,327,254,1548,276,59,1498,0,3,240,1,14,1
1986,CHI,1,1,0.4125,0.4875,86,290,310,1537,348,85,1501,0,3,345,1,14,1
1985,BUF,3,1,0.35,0.475,90,296,291,1221,276,75,1117,0,3,232,1,14,0
1995,BUF,4,1,0.395833333,0.458333333,51,247,262,1022,126,44,992,0,5,117,2,14,0
2002,MTL,4,1,0.37804878,0.43902439,87,206,234,974,203,45,840,0,3,200,1,14,0
2006,VAN,4,0,0.390243902,0.512195122,92,222,201,1477,252,96,1435,0,2,247,1,14,1
1996,STL,4,1,0.414634146,0.390243902,80,236,239,1823,214,72,1763,1,2,247,1,14,1
1988,WAS,2,1,0.4125,0.475,85,305,259,1680,280,94,1589,0,3,244,1,15,1
2009,ANA,2,1,0.402439024,0.512195122,91,238,251,1426,237,73,1346,0,3,226,2,15,0
1989,EDM,3,1,0.425,0.475,84,315,283,1931,317,78,1802,0,5,301,1,15,1
2003,NYI,3,1,0.414634146,0.426829268,83,237,210,1244,224,58,1186,0,3,218,1,15,1
2010,LAK,3,1,0.329268293,0.56097561,101,219,198,979,230,64,937,0,2,206,1,15,1
1998,OTT,5,1,0.402439024,0.414634146,83,239,179,1091,193,48,1032,0,2,191,1,15,1
1978,NYI,1,1,0.2125,0.6,111,358,214,938,334,71,934,0,2,207,1,15,1
1982,NYR,2,1,0.3375,0.4875,92,306,287,1402,296,65,1330,0,5,303,1,15,1
1999,PHO,2,1,0.37804878,0.475609756,90,232,228,1412,204,41,1392,0,4,190,2,15,1
2001,CAR,2,1,0.390243902,0.463414634,88,217,217,1083,208,69,1035,0,3,217,1,15,1
2008,OTT,2,1,0.37804878,0.524390244,94,217,237,1175,245,58,1112,0,3,234,1,15,0
1981,CAL,3,1,0.3375,0.4875,92,334,345,1450,321,81,1313,0,2,293,1,15,1
1993,PHO,4,1,0.44047619,0.476190476,87,245,344,1851,320,97,1821,0,4,316,1,15,0
1983,PIT,6,0,0.6625,0.225,45,254,390,1859,240,79,1745,1,4,383,1,15,0
1977,NYI,2,1,0.2625,0.5875,106,334,210,1012,282,56,989,0,3,190,1,15,1
1991,NYR,2,1,0.3875,0.45,85,321,246,1893,296,91,1836,0,2,261,1,15,1
1984,COL,3,1,0.35,0.525,94,323,275,1600,355,65,1580,0,3,276,1,15,1
2011,NYR,3,1,0.402439024,0.536585366,93,226,187,1074,212,47,989,1,2,187,1,15,1
1985,COL,2,1,0.375,0.5125,91,330,289,1643,313,63,1611,0,3,274,1,15,1
1986,MTL,2,1,0.4125,0.5,87,277,241,1372,311,84,1299,0,2,276,1,15,1
2006,TBL,2,1,0.402439024,0.524390244,92,253,261,959,232,74,839,0,3,246,1,15,1
2000,BUF,3,1,0.390243902,0.426829268,85,218,184,1173,213,37,1161,0,4,198,1,15,1
2002,EDM,3,0,0.341463415,0.463414634,92,231,230,1267,205,51,1261,0,2,177,1,15,1
1995,TOR,4,1,0.395833333,0.4375,50,247,252,744,134,37,663,1,3,138,1,15,1
1996,PHI,1,1,0.292682927,0.548780488,103,274,217,1785,273,80,1717,1,2,203,1,15,1
1988,NYI,1,1,0.3875,0.4875,88,265,325,1732,288,78,1598,0,4,266,1,16,0
1989,PIT,2,1,0.4125,0.5,87,318,359,2670,344,119,2590,0,4,344,1,16,0
2009,MIN,3,0,0.402439024,0.487804878,89,219,246,889,213,65,820,0,4,191,1,16,0
1998,MTL,4,1,0.390243902,0.451219512,87,184,209,1547,235,68,1527,0,4,206,1,16,0
1976,BOS,1,1,0.1875,0.6,113,312,240,1195,313,77,1160,0,3,235,1,16,1
1974,CHI,2,1,0.179487179,0.525641026,105,268,241,877,272,55,873,0,3,161,1,16,1
1978,BOS,1,1,0.225,0.6375,113,316,270,1237,328,44,1218,1,3,217,1,16,1
1999,CAR,1,1,0.365853659,0.414634146,86,217,216,1158,209,41,1132,0,3,196,1,16,0
1975,LAK,2,1,0.2125,0.525,105,263,265,1185,269,52,1177,0,2,182,1,16,1
1981,PHI,2,1,0.3,0.5125,97,325,313,2621,308,74,2373,0,3,241,1,16,1
1994,TOR,2,1,0.345238095,0.511904762,98,135,146,1877,276,88,1799,0,2,240,1,16,1
1980,DAL,3,1,0.35,0.45,88,291,263,1064,309,75,1003,0,2,251,1,16,1
1987,PHO,3,1,0.4,0.5,88,292,310,1537,276,51,1515,0,3,267,1,16,1
2001,VAN,3,1,0.341463415,0.43902439,90,254,211,1113,238,70,1083,0,4,232,1,16,1
2008,BOS,3,1,0.353658537,0.5,94,274,196,1069,187,49,921,0,3,209,1,16,1
1972,BOS,1,1,0.166666667,0.692307692,119,330,235,1112,307,64,957,0,4,203,1,16,1
1977,BOS,1,1,0.2875,0.6125,106,333,218,1065,293,45,1033,0,4,237,1,16,1
1991,PIT,1,1,0.4125,0.5125,88,343,308,1641,342,89,1608,0,4,303,1,16,1
1992,BOS,2,1,0.4,0.45,84,332,268,1752,261,76,1661,0,4,268,1,16,1
2007,MIN,2,1,0.317073171,0.585365854,104,223,218,862,224,72,836,0,2,183,1,16,1
1990,CHI,1,1,0.4125,0.5125,88,284,211,2426,292,75,2064,0,5,290,1,16,1
2011,BUF,3,1,0.353658537,0.524390244,96,218,230,958,229,54,876,1,3,218,1,16,0
1986,CAL,2,1,0.3875,0.5,89,318,289,2297,354,92,2279,1,3,313,1,16,1
2006,SJS,2,1,0.329268293,0.536585366,99,258,199,1058,255,86,1028,0,2,231,1,16,1
1979,LAK,3,1,0.425,0.425,80,290,313,1134,250,68,947,0,3,284,1,16,1
2002,OTT,3,1,0.329268293,0.475609756,94,263,182,1347,236,54,1289,0,3,205,1,16,1
1996,TBL,5,1,0.390243902,0.463414634,88,217,247,1628,235,83,1589,0,4,242,1,16,0
1988,DET,1,1,0.35,0.5125,93,313,316,2391,322,72,2351,0,4,262,1,17,1
2003,NJD,1,1,0.243902439,0.56097561,108,213,164,938,212,36,885,1,3,162,1,17,1
1989,BOS,2,1,0.3625,0.4625,88,289,232,1929,289,85,1862,0,2,253,1,17,1
2010,COL,2,1,0.365853659,0.524390244,95,227,288,1027,222,53,901,0,3,218,1,17,0
2009,STL,3,1,0.37804878,0.5,92,225,223,1248,219,70,1140,1,2,218,1,17,0
1975,BUF,1,1,0.2,0.6125,113,339,240,1229,352,83,1209,0,4,238,1,17,1
1976,PHI,1,1,0.1625,0.6375,118,323,213,1980,348,83,1970,0,3,207,1,17,1
1981,BUF,1,1,0.25,0.4875,99,307,273,1194,327,73,1172,0,4,244,1,17,1
1980,NYI,2,1,0.35,0.4875,91,355,260,1298,281,63,1281,0,3,242,1,17,1
1983,MTL,2,1,0.3,0.525,98,286,295,1116,348,63,1098,1,4,279,1,17,1
1987,MTL,2,1,0.3625,0.5125,92,298,238,1802,277,67,1768,1,3,233,1,17,1
1997,PIT,2,1,0.43902439,0.463414634,84,228,188,1498,277,73,1374,0,3,269,1,17,1
1999,STL,2,1,0.390243902,0.451219512,87,248,165,1308,235,61,1153,0,2,204,1,17,1
2008,ANA,2,1,0.329268293,0.573170732,102,245,238,1481,194,60,1437,0,2,178,1,17,1
2001,TOR,3,1,0.353658537,0.451219512,90,249,207,1430,231,56,1414,0,4,201,1,17,1
1994,BUF,4,1,0.380952381,0.511904762,95,130,119,1760,282,96,1744,1,3,215,1,17,1
1982,DET,6,0,0.5875,0.2625,54,263,344,1250,251,39,1170,0,4,343,1,17,0
1977,PHI,1,1,0.2,0.6,112,296,200,1547,323,52,1541,1,3,209,1,17,1
1984,WAS,2,1,0.3375,0.6,101,322,240,1252,301,74,1201,0,3,222,1,17,1
1990,EDM,2,1,0.35,0.475,90,272,272,2046,312,83,1994,1,4,275,1,17,1
1991,MTL,2,1,0.375,0.4875,89,267,207,1425,273,66,1405,1,3,245,1,17,1
2011,MTL,2,1,0.365853659,0.536585366,96,212,226,1097,212,57,1019,1,2,198,1,17,0
2007,NYR,3,1,0.365853659,0.512195122,94,213,199,1109,230,75,1053,0,2,209,1,17,1
1992,PHO,4,1,0.4,0.4125,81,322,320,1907,241,91,1753,0,4,240,1,17,1
1979,NYI,1,1,0.1875,0.6375,116,281,247,1077,352,81,1040,0,3,214,1,17,1
2000,EDM,2,1,0.317073171,0.390243902,88,243,222,1344,225,53,1322,0,3,212,1,17,1
1985,CAL,3,1,0.3375,0.5125,94,354,315,1400,363,79,1384,0,3,298,1,17,1
1986,NYI,3,1,0.3625,0.4875,90,279,281,1343,319,71,1260,0,2,280,1,17,1
1995,WAS,3,1,0.375,0.458333333,52,234,204,1144,132,45,1118,0,2,114,2,17,1
1988,BOS,2,1,0.375,0.55,94,289,256,2443,281,70,2174,1,2,245,1,18,1
2003,WAS,2,1,0.353658537,0.475609756,92,186,253,1268,218,57,1224,1,5,213,1,18,0
2009,MTL,2,1,0.365853659,0.5,93,217,223,1229,233,68,1177,0,2,236,1,18,1
1998,BUF,3,1,0.353658537,0.43902439,89,207,175,1768,207,50,1752,0,3,184,1,18,1
2010,NAS,3,1,0.353658537,0.573170732,100,219,194,710,216,47,679,0,3,214,1,18,1
1974,BOS,1,1,0.217948718,0.666666667,113,345,245,968,344,65,917,0,3,220,1,18,1
1983,CHI,1,1,0.2875,0.5875,104,277,311,1185,336,86,1171,0,3,262,1,18,1
1980,BOS,2,1,0.2625,0.575,105,316,272,1460,310,60,1378,0,3,230,1,18,1
1993,CAL,2,1,0.357142857,0.511904762,97,302,256,1951,307,83,1870,0,5,278,1,18,1
1997,ANA,2,1,0.402439024,0.43902439,85,205,261,1710,244,56,1662,1,3,227,1,18,0
1994,MTL,3,1,0.345238095,0.488095238,96,125,148,1524,280,78,1478,0,2,243,1,18,0
1999,PIT,3,1,0.365853659,0.463414634,90,241,236,977,241,65,919,1,4,215,1,18,1
2001,LAK,3,1,0.341463415,0.463414634,92,214,190,1196,248,71,1165,0,2,219,2,18,1
1975,WAS,5,0,0.8375,0.1,21,224,394,1085,147,37,870,0,3,443,1,18,0
